conf,matched_queries,title,citation_count,code_url,pdf_url,authors,abstract
TAFFC2023,,Distilling Region-Wise and Channel-Wise Deep Structural Facial Relationships for FAU (DSR-FAU) Intensity Estimation.,,,,"Yingruo Fan,Jacqueline C. K. Lam,Victor O. K. Li",
TAFFC2023,,Neurofeedback Training With an Electroencephalogram-Based Brain-Computer Interface Enhances Emotion Regulation.,,,,"Weichen Huang,Wei Wu,Molly V. Lucas,Haiyun Huang,Zhenfu Wen,Yuanqing Li",
TAFFC2022,,Unraveling ML Models of Emotion With NOVA: Multi-Level Explainable AI for Non-Experts.,,,,"Alexander Heimerl,Katharina Weitz,Tobias Baur,Elisabeth André",
TAFFC2023,,Multimodal Engagement Analysis From Facial Videos in the Classroom.,,,,"Ömer Sümer,Patricia Goldberg,Sidney D'Mello,Peter Gerjets,Ulrich Trautwein,Enkelejda Kasneci",
TAFFC2023,,"DBATES: Dataset for Discerning Benefits of Audio, Textual, and Facial Expression Features in Competitive Debate Speeches.",,,,"Taylan K. Sen,Gazi Naven,Luke Gerstner,Daryl Bagley,Raiyan Abdul Baten,Wasifur Rahman,Md. Kamrul Hasan,Kurtis Haut,Abdullah Al Mamun,Samiha Samrose,Anne Solbu,R. Eric Barnes,Mark G. Frank,Ehsan Hoque",
TAFFC2022,,Multi-Label and Multimodal Classifier for Affective States Recognition in Virtual Rehabilitation.,,,,"Jesús Joel Rivas,Maria del Carmen Lara,Luis Castrejón,Jorge Hernández-Franco,Felipe Orihuela-Espina,Lorena Palafox,Amanda C. de C. Williams,Nadia Bianchi-Berthouze,Luis Enrique Sucar",
TAFFC2022,,Deep Facial Expression Recognition: A Survey.,,,,"Shan Li,Weihong Deng",
TAFFC2023,,Audio-Visual Automatic Group Affect Analysis.,,,,"Garima Sharma,Abhinav Dhall,Jianfei Cai",
TAFFC2023,,Modeling Multiple Temporal Scales of Full-Body Movements for Emotion Classification.,,,,"Cigdem Beyan,Sukumar Karumuri,Gualtiero Volpe,Antonio Camurri,Radoslaw Niewiadomski",
TAFFC2023,,Behavioral and Physiological Signals-Based Deep Multimodal Approach for Mobile Emotion Recognition.,,,,"Kangning Yang,Chaofan Wang,Yue Gu,Zhanna Sarsenbayeva,Benjamin Tag,Tilman Dingler,Greg Wadley,Jorge Gonçalves",
TAFFC2023,,Enforcing Semantic Consistency for Cross Corpus Emotion Prediction Using Adversarial Discrepancy Learning in Emotion.,,,,"Chun-Min Chang,Gao-Yi Chao,Chi-Chun Lee",
TAFFC2022,,Facial Action Unit Detection Using Attention and Relation Learning.,,,,"Zhiwen Shao,Zhilei Liu,Jianfei Cai,Yunsheng Wu,Lizhuang Ma",
TAFFC2023,,Discriminative Few Shot Learning of Facial Dynamics in Interview Videos for Autism Trait Classification.,,,,"Na Zhang,Mindi Ruan,Shuo Wang,Lynn K. Paul,Xin Li",
TAFFC2022,,EEG-Based Emotion Recognition Using Regularized Graph Neural Networks.,,,,"Peixiang Zhong,Di Wang,Chunyan Miao",
TAFFC2023,,Typical Facial Expression Network Using a Facial Feature Decoupler and Spatial-Temporal Learning.,,,,"Jianing Teng,Dong Zhang,Wei Zou,Ming Li,Dah-Jye Lee",
TAFFC2023,,The Rhythm of Flow: Detecting Facial Expressions of Flow Experiences Using CNNs.,,,,"Lukas Humpe,Simon Friedrich Murillo,Janik Muires,Peter A. Gloor",
TAFFC2022,,Facial Expression Recognition with Active Local Shape Pattern and Learned-Size Block Representations.,,,,"Md. Tauhid Bin Iqbal,Byungyong Ryu,Adín Ramírez Rivera,Farkhod Makhmudkhujaev,Oksam Chae,Sung-Ho Bae",
